filename,orig_size,jpeg_size,nmf_method,nmf_rank,nmf_iter,nmf_seed,nmf_size,compr_ratio,compr_time,decompr_time,psnr,psnr_luma,mse,mse_luma,jpeg_psnr,jpeg_psnr_luma,jpeg_mse,jpeg_mse_luma
out-of-focus.png,1223775,51578,naive24,50,50,nndsvd,334893,3.654226872463742,2.916997194290161,2.2555313110351562,29.001852234087565,29.25423055519264,81.82671896386182,77.20711160139732,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,5,300,nndsvd,301729,4.05587464247719,6.167557954788208,1.291400671005249,31.356553227484234,48.11349511152021,47.58006578006578,1.0039933811362383,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,6,300,nndsvd,309403,3.9552783909658276,6.116517543792725,1.326216220855713,31.490782029033674,48.1159665660649,46.13198668055811,1.003422197707912,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,7,300,nndsvd,317191,3.858164323704014,6.127063751220703,1.3316996097564697,31.588432455804455,48.128344979498934,45.106290780576494,1.0005662805662805,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,8,300,nndsvd,324813,3.7676293744400624,6.171389102935791,1.317725658416748,31.683767336584168,48.136993593498886,44.12692120692121,0.9985757185757186,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,9,300,nndsvd,332519,3.6803160120173586,6.249161720275879,1.298750638961792,31.83544339237033,48.14812791848672,42.61240260668832,0.9960188760188761,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,10,300,nndsvd,339864,3.6007785467128026,6.288540363311768,1.3470168113708496,31.888370718641337,48.1501165246945,42.096238279095424,0.9955629098486242,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,11,300,nndsvd,347460,3.5220600932481436,6.532734394073486,1.3099253177642822,31.955964080263833,48.1501058308283,41.4461269432698,0.995565361279647,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,12,300,nndsvd,355170,3.445603513810288,6.748706817626953,1.3476533889770508,32.01822678036818,48.15138928282033,40.856172907601476,0.9952711895569039,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,13,300,nndsvd,362983,3.3714388828126935,6.680441617965698,1.3509633541107178,32.09937992754696,48.15378607516533,40.099814916957776,0.9947220690077833,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,14,300,nndsvd,370748,3.30082697681444,6.675499439239502,1.313068151473999,32.158075631935745,48.15459957318919,39.56150436150436,0.994535760250046,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,15,300,nndsvd,378358,3.2344366975192806,6.514509916305542,1.3064825534820557,32.219084019621505,48.153743263700626,39.009641478212906,0.9947318747318747,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,16,300,nndsvd,386165,3.1690469099996115,6.7675864696502686,1.3026177883148193,32.29157839279366,48.153518510434516,38.36387979816551,0.9947833547833548,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,17,300,nndsvd,394563,3.1015959428532325,6.7114691734313965,1.3052918910980225,32.359787109998365,48.15240561804436,37.766057486057484,0.9950383036097322,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,18,300,nndsvd,402144,3.0431263428025783,6.939961671829224,1.3471150398254395,32.427840474284885,48.15317605163137,37.17888092173806,0.9948618005760863,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,19,300,nndsvd,409845,2.985945906379241,6.988414287567139,1.3324394226074219,32.48131890617238,48.153518510434516,36.723872443872445,0.9947833547833548,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,ycbcr,20,300,nndsvd,417401,2.931892832072755,6.892393589019775,1.317319393157959,32.52085327792811,48.15405365638156,36.391087413944554,0.9946607832322119,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
out-of-focus.png,1223775,51578,separate,50,50,nndsvd,543487,2.2517097925065364,2.5157320499420166,1.5147061347961426,29.330124249453633,29.573551632604644,75.86962472676758,71.73402463688178,36.25971497206112,40.403506128633936,15.385402545402545,5.925564748421891
